themes,solution,epd,rating,rating_dev,to_move,cp_eval,move1cp,nodes,move1multiPV,move1sel_depth,move1w,move1d,move1l,move2cp,move2multiPV,move2sel_depth,move2w,move2d,move2l,move3cp,move3multiPV,move3sel_depth,move3w,move3d,move3l,orig_w,orig_d,orig_l,white_material,black_material,material_balance,total_material,white_P,white_N,white_B,white_R,white_Q,white_K,black_p,black_n,black_b,black_r,black_q,black_k,meaningful_L1,meaningful_L2,meaningful_L3,branching_L2,branching_L3,avg_branching,narrow_L1,narrow_L2,narrow_L3,distance_L1,distance_L2,distance_L3,pieces_L1,pieces_L2,pieces_L3,all_pieces_involved,winning_no_mate,possible_L1,possible_L2,possible_L3,all_possible_moves,all_narrow_solutions,tree_size,move_ratio_L1,move_ratio_L2,move_ratio_L3,sum_distance,avg_distance,solved1320,solved1500,solved1750,solved2000,solved2250,solved2500,solved2750,solved3000
,? c7c8q g8c8 f4f6 h8g8 f6e6 g8h8 e6c8 d5d8 c8d8 h7g8 d8d4 g8g7 d4g7,6rk/1RP4q/p7/3r4/P4Q1P/6P1/3p3K/8 w - -,1492.5,0,1,1500,1500,609488,1,37,1000,0,0,773,2,22,1000,0,0,-360,3,34,0,0,1000,1000,0,0,18,21,-3,39,4,0,0,1,1,1,2,0,0,2,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1,4,2,1,1,1,3,0,37,1395,52180,53612,3,3,0.027027027027027,0.0007168458781362,1.9164430816404752e-05,7,2.333333333333333,0,0,0,0,1,0,1,1
,? h4h7 g7g8 c6d7 e7d7 h7d7 a7a6 h2h4 h8g7 d7b7 b6b5 c4b5 a6b5 b7b5 g7f8 b5b7 f8g7,7b/p2qr1k1/1pQ3P1/2p1p3/2P4R/6K1/6PP/8 w - -,1495.3,0,1,577,587,424311,1,41,1000,0,0,335,2,25,1000,0,0,0,3,22,1,997,2,1000,0,0,18,21,-3,39,4,0,0,1,1,1,4,0,1,1,1,1,2,3,5,1.5,1.6666666666666667,1.5833333333333337,0,1,2,4,3,11,2,1,2,3,1,27,637,15626,16290,3,10,0.074074074074074,0.0047095761381475,0.0003199795213106,18,1.8,1,1,1,1,1,1,1,1
,? b3b4 a5b4 g3f2 b4b3 f2f1 b3b2 h3f2,8/8/3p4/p1pP4/P1P5/1P4KN/7p/7k w - -,1875.2,0,1,1500,1500,246950,1,8,1000,0,0,1135,2,53,1000,0,0,1118,3,49,1000,0,0,1000,0,0,7,4,3,11,4,1,0,0,0,1,4,0,0,0,0,1,1,2,2,2.0,1.0,1.5,1,0,2,1,2,2,1,1,1,2,0,10,13,109,132,3,5,0.1,0.1538461538461538,0.018348623853211,5,1.0,0,0,1,0,1,0,1,0
,? c2a1 b3b4 e4b4 e7b4 c1e3 e8f8 g1h1 b4a5 e3h6 f8e7 c3e4 f7d5 g2f3 d5e4 h6h7,3rk1r1/1p1nbb1p/p1p2p2/P4P2/4R3/1qN5/1PN1P1BP/2Q2RK1 w - -,1878.1,0,1,371,374,297974,1,28,1000,0,0,238,2,26,999,1,0,157,3,29,949,51,0,1000,0,0,33,33,0,66,5,2,1,2,1,1,5,1,2,2,1,1,2,8,16,4.0,2.0,3.0,0,0,3,3,18,35,2,3,6,6,1,42,1656,66304,68002,3,26,0.0476190476190476,0.0048309178743961,0.0002413127413127,56,2.1538461538461537,0,0,0,0,0,0,0,0
,? b7c6 d1f3 e3g4 h2h3 g4f6 f3c6 c8b8 a1d1 f8d6 d1d3 a5b6 c6c4 b6b4 c4e6 h8e8 e6f5 b4b2,2kr1b1r/ppp3pp/2N5/q4p2/6B1/2N1n3/PPP2PPP/R2Q1RK1 b - -,1878.1,0,-1,282,295,102302,1,28,1000,0,0,44,2,24,50,950,0,-415,3,23,0,0,1000,1000,0,0,34,31,3,65,6,2,1,2,1,1,6,1,1,2,1,1,1,4,6,4.0,1.5,2.75,1,0,2,1,5,17,1,2,2,4,1,41,1770,65717,67528,3,11,0.024390243902439,0.0022598870056497,9.130057671530958e-05,23,2.090909090909091,0,0,0,1,0,0,1,1
,? f3g5 h7h6 g5f7 h6h7 c1g5 a2a1 g1h2 a1b1 g5g6 b1g6 h5g6,6r1/3b1ppk/4p3/3pP2P/8/5NR1/q4P2/2Q3K1 w - -,1883.3,0,1,1500,1500,469536,1,12,1000,0,0,259,2,19,1000,0,0,111,3,31,669,331,0,1000,0,0,20,21,-1,41,3,1,0,1,1,1,4,0,1,1,1,1,1,2,2,2.0,1.0,1.5,1,0,2,2,2,4,1,1,1,2,0,36,1036,33559,34631,3,5,0.0277777777777777,0.0019305019305019,5.959653148186776e-05,8,1.6,0,0,1,0,0,1,0,0
,? f8h6 d2d3 d8b6 c3d5 b6d4 d3d4 c6d4 d5c7 e8d8 c7a8 h6e3 f1f2 d4e2 g1f1 e3f2 f1f2,r2qkb1r/3bpp2/p1np1p2/1p3P2/3NP2p/2N5/PPPQB1PP/R4RK1 b kq -,2230.9,0,-1,410,407,86759,1,27,1000,0,0,166,2,26,958,42,0,34,3,20,42,956,2,1000,0,0,35,35,0,70,7,2,1,2,1,1,7,1,2,2,1,1,1,5,12,5.0,2.4,3.7,1,0,2,2,8,24,1,3,4,5,1,29,1329,39544,40902,3,18,0.0344827586206896,0.0037622272385252,0.0003034594375885,34,1.8888888888888888,0,0,1,0,1,1,1,1
,? d2h6 c3g3 h5g6 g3g6 f5g6 f7g6 h6f8,5r1k/1p1b1p1p/p2ppb2/5P1B/1q6/1Pr3R1/2PQ2PP/5R1K w - -,2233.1,0,1,1500,1500,556817,1,8,1000,0,0,-184,2,19,0,7,993,-299,3,18,0,0,1000,1000,0,0,27,31,-4,58,5,0,1,2,1,1,6,0,2,2,1,1,1,1,1,1.0,1.0,1.0,1,1,1,4,4,1,1,1,1,3,0,43,2039,82445,84527,3,3,0.0232558139534883,0.0004904364884747,1.2129298320092182e-05,9,3.0,0,1,0,0,1,1,1,1
,? c3c2 c7d7 h5f6 d7a4 b7b5 a4c2 b2c2 d1a1 f6d5 h2g1 d5c3 e1c3 c2c3 a1d1 e8e2 g2e4 c3b2,4r1k1/1pQb1pp1/7p/3P3n/p7/P1pP2PP/1q3PBK/3RB3 b - -,2237.5,0,-1,474,457,105053,1,28,1000,0,0,13,2,26,4,995,1,-83,3,21,0,743,257,1000,0,0,26,26,0,52,6,0,2,1,1,1,6,1,1,1,1,1,1,1,40,1.0,40.0,20.5,1,1,0,1,2,74,1,1,6,6,1,45,1448,59633,61126,2,42,0.0222222222222222,0.0006906077348066,0.0006707695403551,77,1.8333333333333333,0,0,1,1,1,1,1,1
,? f4h4 e6f5 e4f5 g7g6 d3d7 d8d7 f5d7 a4a2 h4f6 e8e2 d7c6 a2d2 c6b5 e2e6 f6f3,3rr1k1/1p3ppp/p1n1b3/2B5/qP2BQ2/3R4/P4PPP/R5K1 w - -,2238.5,0,1,392,385,341401,1,40,1000,0,0,78,2,16,218,782,0,77,3,24,213,787,0,1000,0,0,30,30,0,60,5,0,2,2,1,1,5,1,1,2,1,1,1,1,1,1.0,1.0,1.0,1,1,1,2,2,3,1,1,1,2,1,57,2394,125676,128127,3,3,0.0175438596491228,0.0004177109440267,7.95696871319902e-06,7,2.333333333333333,0,0,0,0,0,0,0,0
