themes,solution,epd,rating,rating_dev,to_move,cp_eval,move1cp,nodes,move1multiPV,move1sel_depth,move1w,move1d,move1l,move2cp,move2multiPV,move2sel_depth,move2w,move2d,move2l,move3cp,move3multiPV,move3sel_depth,move3w,move3d,move3l,orig_w,orig_d,orig_l,white_material,black_material,material_balance,total_material,white_P,white_N,white_B,white_R,white_Q,white_K,black_p,black_n,black_b,black_r,black_q,black_k,crushing,hangingPiece,long,middlegame,advantage,endgame,short,rookEndgame,fork,pawnEndgame,mate,mateIn2,operaMate,master,interference,kingsideAttack,veryLong,zugzwang,exposedKing,skewer,mateIn1,oneMove,opening,pin,quietMove,backRankMate,discoveredAttack,sacrifice,bishopEndgame,bodenMate,deflection,morphysMate,smotheredMate,advancedPawn,attraction,promotion,mateIn3,masterVsMaster,superGM,queensideAttack,knightEndgame,cornerMate,defensiveMove,queenEndgame,attackingF2F7,queenRookEndgame,clearance,intermezzo,equality,pillsburysMate,trappedPiece,hookMate,discoveredCheck,xRayAttack,capturingDefender,swallowstailMate,doubleBishopMate,doubleCheck,arabianMate,mateIn4,epauletteMate,enPassant,vukovicMate,dovetailMate,triangleMate,balestraMate,collinearMove,killBoxMate,anastasiaMate,blindSwineMate,castling,mateIn5,underPromotion,collinear,meaningful_L1,meaningful_L2,meaningful_L3,branching_L2,branching_L3,avg_branching,narrow_L1,narrow_L2,narrow_L3,distance_L1,distance_L2,distance_L3,pieces_L1,pieces_L2,pieces_L3,all_pieces_involved,winning_no_mate,possible_L1,possible_L2,possible_L3,all_possible_moves,all_narrow_solutions,tree_size,move_ratio_L1,move_ratio_L2,move_ratio_L3,sum_distance,avg_distance,solved1320,solved1500,solved1750,solved2000,solved2250,solved2500,solved2750,solved3000
crushing hangingPiece long middlegame,f2g3 e6e7 b2b1 b3c1 b1c1 h6c1,r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2b1/PqP3PP/7K w - -,1935,76,1,742,785,2151415,1,62,1000,0,0,-559,2,25,0,0,1000,-627.0,3.0,23.0,0.0,0.0,1000.0,1000,0,0,22,27,-5,49,5,1,0,1,1,1,5,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2.0,1.0,1.5,1,0,2,1,2,4,1,1,1,3,1,39,1399,48160,49598,3,5,0.0256410256410256,0.0014295925661186,4.152823920265781e-05,7,1.4,1,1,1,1,1,1,1,1
advantage endgame short,d3d6 f8d8 d6d8 f6d8,5rk1/1p3ppp/pq1Q1b2/8/8/1P3N2/P4PPP/3R2K1 b - -,1414,75,-1,468,470,338132,1,32,1000,0,0,31,2,30,12,988,0,22.0,3.0,34.0,6.0,994.0,0.0,1000,0,0,22,22,0,44,5,1,0,1,1,1,5,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1.0,2.0,1.5,1,1,0,2,2,9,1,1,2,2,1,33,1403,47263,48699,2,4,0.0303030303030303,0.0007127583749109,4.231639972071176e-05,13,3.25,0,0,1,1,1,1,1,1
advantage endgame rookEndgame short,e7f7 f5e5 e2f1 e5e6,8/5R2/1p2P3/p4r2/P6p/1P3Pk1/4K3/8 b - -,1385,80,-1,243,290,265488,1,31,1000,0,0,-314,2,21,0,0,1000,-473.0,3.0,31.0,0.0,0.0,1000.0,1000,0,0,9,8,1,17,4,0,0,1,0,1,3,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2.0,1.0,1.5,1,0,2,1,2,2,1,1,1,2,1,16,281,4156,4453,3,5,0.0625,0.0071174377224199,0.0004812319538017,5,1.0,0,1,1,1,1,1,1,1
advantage middlegame short,b6c5 e2g4 h3g4 d1g4,r2qr1k1/b1p2ppp/p5n1/P1p1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1 w - -,1084,74,1,281,277,94038,1,25,999,1,0,-157,2,23,0,86,914,-167.0,3.0,24.0,0.0,58.0,942.0,999,1,0,37,38,-1,75,6,2,2,2,1,1,7,2,2,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,2,1,3,1,1,1,2,1,22,831,21271,22124,3,3,0.0454545454545454,0.0012033694344163,4.701236425179822e-05,6,2.0,0,1,1,1,1,1,1,1
crushing endgame fork short,e4d2 d4e2 g1f1 e2c3,6k1/5p1p/4p3/4q3/3n4/2Q3P1/PP1N1P1P/6K1 b - -,1550,75,-1,549,550,546839,1,38,1000,0,0,-211,2,18,0,1,999,-273.0,3.0,15.0,0.0,0.0,1000.0,1000,0,0,17,15,2,32,5,1,0,0,1,1,3,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2.0,1.0,1.5,1,0,2,2,2,4,1,1,1,2,1,33,960,28443,29436,3,5,0.0303030303030303,0.0020833333333333,7.031607073796716e-05,8,1.6,1,1,1,1,1,1,1,1
advantage endgame short,c4c2 e4c2 a2a1 c2b1,2Q2bk1/5p1p/p5p1/2p3P1/4B3/7P/qPr2P2/2K4R w - -,1582,75,1,401,441,1035729,1,44,1000,0,0,0,2,17,2,997,1,1500.0,3.0,3.0,0.0,0.0,1000.0,1000,0,0,21,22,-1,43,4,0,1,1,1,1,5,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,2,1,1,1,1,1,3,1,3,61,1752,1816,3,3,0.3333333333333333,0.0163934426229508,0.0005707762557077,4,1.3333333333333333,1,1,1,1,1,1,1,1
crushing endgame long,g6f5 d5c5 c2e4 h5g5 g7h8 g5f6,r4r2/1p3pkp/p7/3R1p1Q/3P4/8/P1q2P2/3R2K1 w - -,2861,108,1,432,437,95739,1,37,1000,0,0,16,2,30,5,994,1,0.0,3.0,20.0,2.0,996.0,2.0,1000,0,0,22,24,-2,46,3,0,0,2,1,1,5,0,0,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,2,1,36,1161,39722,40919,3,3,0.0277777777777777,0.0008613264427217,2.517496601379588e-05,3,1.0,0,1,0,0,1,1,1,1
crushing endgame long pawnEndgame,g4h5 g6h5 f4f5 e6e5 f5f6 e5f6,8/8/4k1p1/2KpP2P/5P2/8/8/8 b - -,1574,78,-1,398,515,267774,1,22,1000,0,0,-512,2,42,0,0,1000,-538.0,3.0,26.0,0.0,0.0,1000.0,1000,0,0,3,2,1,5,3,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2.0,1.5,1.75,1,0,1,1,2,3,1,1,1,2,1,7,63,448,518,2,6,0.1428571428571428,0.0317460317460317,0.0066964285714285,6,1.0,1,1,1,1,1,1,1,1
endgame mate mateIn2 operaMate short,e5f6 e8e1 g1f2 e1f1,4r3/1k6/pp3P2/1b5p/3R1p2/P1R2P2/1P4PP/6K1 b - -,1376,75,-1,-1500,-1500,56417,1,4,1000,0,0,-519,2,18,0,0,1000,-581.0,3.0,20.0,0.0,0.0,1000.0,1000,0,0,16,12,4,28,6,0,0,2,0,1,4,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.5,1,1,0,7,1,0,1,1,0,2,0,26,792,18291,19109,2,2,0.0384615384615384,0.0012626262626262,0.0,8,4.0,0,1,1,1,1,1,1,1
advantage master middlegame short,g5e7 a5c3 b2c3 c6e7,r4rk1/pp2Bppp/2n1b3/q1pp4/8/P1Q2NP1/1PP1PP1P/2KR3R b - -,1414,78,-1,482,482,153171,1,26,1000,0,0,79,2,19,242,758,0,-16.0,3.0,16.0,2.0,987.0,11.0,1000,0,0,32,32,0,64,7,1,1,2,1,1,7,1,1,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1,1,1,2,1,2,1,1,1,3,1,40,1841,70976,72857,3,3,0.025,0.0005431830526887,1.40892696122633e-05,5,1.6666666666666667,0,1,1,1,1,1,1,1
