rating,epd,solution,rating_dev,to_move,cp_eval,move1cp,nodes,move1multiPV,move1sel_depth,move1w,move1d,move1l,move2cp,move2multiPV,move2sel_depth,move2w,move2d,move2l,move3cp,move3multiPV,move3sel_depth,move3w,move3d,move3l,orig_w,orig_d,orig_l,white_material,black_material,material_balance,total_material,white_P,white_N,white_B,white_R,white_Q,white_K,black_p,black_n,black_b,black_r,black_q,black_k,meaningful_L1,winning_no_mate,narrow_L1,distance_L1,all_narrow_solutions,tree_size,sum_distance,pieces_L1,meaningful_L2,possible_L2,narrow_L2,distance_L2,pieces_L2,meaningful_L3,possible_L3,narrow_L3,distance_L3,pieces_L3,all_pieces_involved,branching_L2,branching_L3,avg_branching,possible_L1,all_possible_moves,move_ratio_L1,move_ratio_L2,move_ratio_L3,avg_distance,balestraMate,discoveredCheck,deflection,bishopEndgame,quietMove,epauletteMate,oneMove,arabianMate,interference,trappedPiece,cornerMate,endgame,fork,crushing,collinearMove,queenRookEndgame,bodenMate,hookMate,triangleMate,knightEndgame,vukovicMate,pin,mateIn1,advancedPawn,short,veryLong,sacrifice,superGM,dovetailMate,blindSwineMate,smotheredMate,mateIn3,enPassant,morphysMate,pillsburysMate,mateIn4,castling,defensiveMove,middlegame,long,backRankMate,kingsideAttack,promotion,equality,rookEndgame,doubleCheck,attackingF2F7,exposedKing,mateIn5,doubleBishopMate,opening,intermezzo,mate,hangingPiece,advantage,mateIn2,master,masterVsMaster,skewer,attraction,pawnEndgame,underPromotion,zugzwang,queenEndgame,operaMate,killBoxMate,anastasiaMate,clearance,xRayAttack,capturingDefender,queensideAttack,discoveredAttack,swallowstailMate
1797,r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2b1/PqP3PP/7K w - -,f2g3 e6e7 b2b1 b3c1 b1c1 h6c1,76,1,580,613,857827,1,43,1000,0,0,228,2,28,999,1,0,30,3,28,27,972,1,1000,0,0,22,27,-5,49,5,1,0,1,1,1,5,0,1,2,1,1,1,1,1,1,3,3,11,1,1,1414,1,5,1,1,47280,1,5,1,2,1.0,1.0,1.0,35,48729,0.02857142857142857,0.0007072135785007072,2.1150592216582064e-05,3.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1468,5rk1/1p3ppp/pq1Q1b2/8/8/1P3N2/P4PPP/3R2K1 b - -,d3d6 f8d8 d6d8 f6d8,75,-1,3,0,227804,1,24,5,990,5,0,2,19,5,990,5,-1,3,19,5,990,5,5,990,5,22,22,0,44,5,1,0,1,1,1,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1303,0,0,0,0,51826,0,0,0,0,0.0,0.0,0.0,40,53169,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1383,8/5R2/1p2P3/p4r2/P6p/1P3Pk1/4K3/8 b - -,e7f7 f5e5 e2f1 e5e6,81,-1,684,707,305146,1,41,1000,0,0,306,2,29,1000,0,0,57,3,20,84,916,0,1000,0,0,9,8,1,17,4,0,0,1,0,1,3,0,0,1,0,1,2,1,0,3,4,10,13,2,3,265,1,4,2,2,4335,2,3,1,3,1.5,0.6666666666666666,1.0833333333333333,16,4616,0.125,0.011320754716981131,0.000461361014994233,1.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,r2qr1k1/b1p2ppp/p5n1/P1p1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1 w - -,b6c5 e2g4 h3g4 d1g4,74,1,297,336,325546,1,30,1000,0,0,139,2,31,833,167,0,52,3,19,123,875,2,1000,0,0,37,38,-1,75,6,2,2,2,1,1,7,2,2,2,1,1,1,1,1,2,3,3,4,1,1,946,1,1,1,1,36921,1,1,1,2,1.0,1.0,1.0,39,37906,0.02564102564102564,0.0010570824524312897,2.7084856856531512e-05,1.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1547,6k1/5p1p/4p3/4q3/3n4/2Q3P1/PP1N1P1P/6K1 b - -,e4d2 d4e2 g1f1 e2c3,76,-1,458,488,290615,1,29,1000,0,0,478,2,32,1000,0,0,191,3,33,993,7,0,1000,0,0,17,15,2,32,5,1,0,0,1,1,3,1,0,0,1,1,2,1,0,3,0,26,38,1,7,960,0,10,3,9,29144,0,13,3,4,3.5,1.2857142857142858,2.392857142857143,34,30138,0.058823529411764705,0.007291666666666667,0.00030881141916003294,1.4615384615384615,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1655,2Q2bk1/5p1p/p5p1/2p3P1/4B3/7P/qPr2P2/2K4R w - -,c4c2 e4c2 a2a1 c2b1,78,1,0,0,352874,1,13,5,989,6,-639,2,21,0,0,1000,-640,3,48,0,0,1000,5,989,6,21,22,-1,43,4,0,1,1,1,1,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,624,0,0,0,0,15083,0,0,0,0,0.0,0.0,0.0,20,15727,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2869,r4r2/1p3pkp/p7/3R1p1Q/3P4/8/P1q2P2/3R2K1 w - -,g6f5 d5c5 c2e4 h5g5 g7h8 g5f6,109,1,16,16,170404,1,18,12,986,2,-467,2,20,0,0,1000,-534,3,23,0,0,1000,12,986,2,22,24,-2,46,3,0,0,2,1,1,5,0,0,2,1,1,0,0,0,0,0,0,0,0,0,191,0,0,0,0,6530,0,0,0,0,0.0,0.0,0.0,5,6726,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1569,8/8/4k1p1/2KpP2P/5P2/8/8/8 b - -,g4h5 g6h5 f4f5 e6e5 f5f6 e5f6,79,-1,0,0,457070,1,22,4,992,4,-536,2,38,0,0,1000,-639,3,35,0,0,1000,4,992,4,3,2,1,5,3,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51,0,0,0,0,468,0,0,0,0,0.0,0.0,0.0,8,527,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1363,4r3/1k6/pp3P2/1b5p/3R1p2/P1R2P2/1P4PP/6K1 b - -,e5f6 e8e1 g1f2 e1f1,76,-1,44,32,283513,1,34,25,974,1,-437,2,23,0,0,1000,-491,3,23,0,0,1000,30,969,1,16,12,4,28,6,0,0,2,0,1,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,924,0,0,0,0,27828,0,0,0,0,0.0,0.0,0.0,33,28785,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1412,r4rk1/pp2Bppp/2n1b3/q1pp4/8/P1Q2NP1/1PP1PP1P/2KR3R b - -,g5e7 a5c3 b2c3 c6e7,79,-1,-44,-32,318160,1,21,2,962,36,-79,2,30,0,731,269,-111,3,26,0,368,632,2,968,30,32,32,0,64,7,1,1,2,1,1,7,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1807,0,0,0,0,79091,0,0,0,0,0.0,0.0,0.0,47,80945,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
